Id,Backlinks,Netloc,Title,Last_Active1
1,1,www.handmadereviews.net,"Handmade Reviews - lifestyle, travel, fashion, beauty blog",2016-10-05 6:00
2,1,glow-t.com,Glow-T | Have you Glow-Ted Today?,Unknown
3,1,www.ladiesbalance.com,"Women's Wellness Brand, Website, Blog & Community. Visit the shop",Unknown
4,1,www.yasouskincare.com,Natural skin care | Greek skin care | YASOU skin care,Unknown
5,1,ifabbo.com," iFabbo: Beauty, Fashion, Lifestyle Influencer Network ",Unknown
6,1,one2try.net,"One 2 Try | product reviews, giveaways, sweepstakes",Unknown
7,1,beautyandlace.net,"Beauty and Lace Online Magazine — Beauty, Fashion and Lifestyle Magazine",2016-09-14T10:16:18+00:00
8,1,living.beautyandlace.net,"Living - Beauty and Lace Magazine — Lifestyle, Recipes and Home Reviews",2016-10-21T11:15:06+00:00
9,1,naturalgirl.beautyandlace.net,Natural Girl - Beauty and Lace Online Magazine — Natural products and Eco News,2016-04-14T12:13:25+00:00
10,1,yoursay.beautyandlace.net,Beauty and Lace User Reviews – Club Member Feedback,Unknown
11,1,beauty.beautyandlace.net,"Beauty - Beauty and Lace Magazine — Beauty Reviews, News and How Tos",2016-09-14T10:16:18+00:00
12,1,bookgirl.beautyandlace.net,Book Reviews - Beauty and Lace Online Magazine — Book Reviews and Book News,2016-10-02T12:51:12+00:00
13,1,www.allthingsbeautifulxo.com,"All Things Beautiful XO – Stephanie Louise & her guide on beauty, style, health, & glitter!",2016-10-21T13:10:58+00:00
14,1,allmyfriendsarejpegs.com,"allmyfriendsarejpegs | old cameras, film, and new places.",Unknown
15,1,overyonderlust.com,Over Yonderlust - Shaun and Erica - Living life on our terms.Over Yonderlust | Shaun and Erica – Living life on our terms.,Unknown
16,1,fourhourworkweek.com,Tim Ferriss and The 4 Hour Workweek,Unknown
17,1,bullypulpit.com,Bully Pulpit,Unknown
18,1,gradfoodstudies.org,Graduate Association for Food studies,2016-09-13T01:27:20+00:00
19,1,emilycontois.com,Emily Contois,Unknown
20,1,sarahelaing.com,LET ME BE FRANK | Reading. Writing. Parenting. Angsting.,Unknown
21,1,www.landfallreview.com,Landfall Review Online – New Zealand books in review,2016-10-01T00:07:59+00:00
22,1,ronovanwrites.wordpress.com,ronovanwrites – Writing to Discover My Self In the World,2016-10-17T08:00:29+00:00
23,1,www.listener.co.nz,"New Zealand Listener - Political, Cultural and Literary life of New Zealand",Unknown
24,1,cclblog.wordpress.com,"Christchurch City Libraries Blog – your people, your library",2016-10-23T09:00:28+00:00
25,1,nzpoetryshelf.com,"NZ Poetry Shelf | a poetry page with reviews, interviews and other things",2016-10-22T11:33:30+00:00
26,1,arts.net.nz,Arts Net – websites for the arts,Unknown
27,1,mandythebookworm.wordpress.com,Mandythebookworm's Blog | All things books….with a sprinkling of life's other experiences,Unknown
28,1,books.scoop.co.nz,Scoop Review of Books,Unknown
29,1,saybooksonline.com,Say Books - Digital publishing services,Unknown
30,1,dailypost.wordpress.com,The Daily Post | The Art and Craft of Blogging,Unknown
31,1,dermotthayes.com,"Postcard from a Pigeon – Musings by Dermott Hayes, a writer",2016-10-23T22:08:53+00:00
32,1,skrikvirniks.wordpress.com,the red ant,2016-10-22T21:21:55+00:00
33,1,autisticacademic.com,Autistic Academic,2016-10-17T17:55:43+00:00
34,1,moviemermaid.wordpress.com,Movie Justice | Movie Reviews From An Unpaid Critic,2014-06-13T15:08:17+00:00
35,1,hughsviewsandnews.com,Hugh's Views & News – A Man with Dyslexia writing about this and that and everything else!,2016-10-23T15:51:08+00:00
